net,length_um
_03847_,343
_03857_,342.9
_03281_,342.84
_06730_,342.66
_08305_,342.175
_06197_,341.9
_03017_,341.45
cur_mb_mem\[68\]\[2\],340.64
net171,339.9
_07634_,339.76
_06670_,339.71
_06317_,338.8
cur_mb_mem\[67\]\[7\],338.27
_06388_,337.765
_06457_,337.69
_07368_,336.74
_04342_,336.23
_06010_,336.2
cur_mb_mem\[113\]\[6\],336.08
clknet_5_27__leaf_clk,336
_06533_,335.8
_03735_,335.76
_07089_,335.28
cur_mb_mem\[202\]\[0\],335.28
_07065_,334.5
_04098_,334.18
_08535_,334
_06862_,333.4
cur_mb_mem\[68\]\[0\],332.12
_06986_,331.5
net191,331.04
_03287_,330.66
_08225_,330.66
_07498_,330.46
_03363_,330.23
_04208_,330.06
cur_mb_mem\[100\]\[6\],329.98
_07582_,329.94
_03983_,329.52
_04332_,329.3
_07406_,329.07
cur_mb_mem\[202\]\[3\],328.58
_04063_,327.8
_07769_,326.94
_02761_,326.76
_03675_,326.64
net217,326.48
_07029_,326.38
cur_mb_mem\[2\]\[7\],326.18
_04303_,325.62
clknet_5_24__leaf_clk,324.91
_07285_,324.53
cur_mb_mem\[202\]\[6\],324.38
_07604_,323.32
_08009_,323.12
_03798_,323.1
cur_mb_mem\[79\]\[7\],322.6
_02507_,322.035
net163,321.48
cur_mb_mem\[211\]\[7\],321.4
_02971_,321.3
_04023_,321.22
cur_mb_mem\[207\]\[7\],320.66
net74,320.24
_04030_,319.84
net88,319.8
_04137_,319.76
_02338_,319.3
_06666_,318.125
_05950_,317.93
_08633_,317.6
_07006_,317.24
_09166_,317.22
_06819_,317
_02443_,316.78
_03058_,316.18
_03289_,315.5
clknet_5_0__leaf_clk,315.32
_07727_,315.22
_09085_,313.82
_09221_,313.725
_04284_,313.33
_02765_,313.3
net139,313.28
_06329_,313.235
_06066_,312.935
_06288_,312.8
_06847_,312.76
cur_mb_mem\[204\]\[3\],312.46
_06969_,312.3
_07910_,311.67
cur_mb_mem\[204\]\[2\],311.32
_07207_,311.02
